,Close,RSI,MFI,EMA,SO,CloseNext
813,526.7073364257812,81.20322014976784,64.95107240585854,485.09373782158355,84.25670266151428,517.8413696289062
814,517.8413696289062,75.45676380414743,55.94371878705624,489.4600887292266,16.35676473379135,521.7542724609375
815,521.7542724609375,76.47057402221476,50.53082211750817,493.76597989345476,68.19250583648682,534.5579223632812
816,534.5579223632812,80.72231357668622,63.38513736516382,499.2049055560983,20.62542885541916,554.766357421875
817,554.766357421875,80.83785265866092,70.34616051248757,506.61309913820185,87.582528591156,534.8551025390625
818,534.8551025390625,68.52268833262119,66.41223225461701,510.37869959164993,7.785995304584503,534.1369018554688
819,534.1369018554688,69.43145801909161,64.19879269123243,513.5464598934925,15.92462807893753,545.2317504882812
820,545.2317504882812,67.6188252978556,68.18562645986279,517.771165306131,56.09760284423828,558.431640625
821,558.431640625,68.33763724317728,68.59811559614768,523.1925620153136,84.83356237411499,545.6775512695312
822,545.6775512695312,65.80552355637494,63.796221054415966,526.1905605825426,41.077008843421936,538.8670654296875
823,538.8670654296875,63.05978823062836,60.34179089172428,527.8807612288286,39.05770778656006,539.337646484375
824,539.337646484375,56.07971339764383,63.88197250965288,529.4083459295682,18.993423879146576,531.7346801757812
825,531.7346801757812,55.51449509570556,56.485919420857996,529.7185238290633,20.758354663848877,527.3512573242188
826,527.3512573242188,56.371681531735284,49.22102764578022,529.402888295084,15.824958682060242,536.0191040039062
827,536.0191040039062,53.543168107492484,46.17535746304,530.2850503895937,73.63845705986023,542.55712890625
828,542.55712890625,52.49958433441487,51.339450085740474,531.921327525148,73.22545051574707,533.691162109375
829,533.691162109375,54.45307754029933,53.49901605458987,532.1573054697116,4.892447218298912,539.8329467773438
830,539.8329467773438,52.0707841789846,38.592943289958704,533.1807243107293,83.68693590164185,555.9303588867188
831,555.9303588867188,50.47218559213722,40.082841150451245,536.2140089208611,63.32203149795532,556.0541381835938
832,556.0541381835938,53.1947689464052,47.53316583507699,538.8593594892255,51.213425397872925,553.8995971679688
833,553.8995971679688,52.339372644804335,48.73342671094947,540.864724513058,59.50002670288086,545.8756713867188
834,545.8756713867188,50.316159812042244,41.06583904296963,541.5328507628794,34.90930497646332,541.93798828125
835,541.93798828125,48.1882381321856,34.26021226466422,541.5868690986622,34.183910489082336,535.8704833984375
836,535.8704833984375,51.45727199376309,34.52732242467853,540.8246843386322,26.822274923324585,527.7227172851562
837,527.7227172851562,50.76847601830634,34.08556173401104,539.0777553981687,30.912387371063232,539.9072265625
838,539.9072265625,57.424600444126106,35.348600920540505,539.1883515534129,90.76705574989319,528.3666381835938
839,528.3666381835938,55.531767086610444,36.72234270792632,537.745456437437,14.878064393997192,516.1573486328125
840,516.1573486328125,52.117508130983154,35.84793124537862,534.8670420634871,24.22151416540146,513.3836059570312
841,513.3836059570312,53.71633034323344,31.40515897638052,532.0025839159597,14.850784838199615,514.101806640625
842,514.101806640625,49.90456962185425,26.19474734867437,529.6158136125817,66.74626469612122,524.9490356445312
843,524.9490356445312,52.84893685893215,30.877900001315908,528.993576550175,83.4272563457489,520.5655517578125
844,520.5655517578125,54.84405920532832,32.224874209701795,527.8698399111934,25.446423888206482,501.1991271972656
845,501.1991271972656,43.15902902860048,19.23409569168929,524.3137448826697,25.74256658554077,501.2981872558594
846,501.2981872558594,43.13361682699196,13.054579615094795,521.2450038657616,30.06138801574707,502.9327087402344
847,502.9327087402344,37.500046779030484,12.867350543200445,518.8033645156913,77.00021266937256,499.2674560546875
848,499.2674560546875,38.88566540345361,17.640588486828165,516.1985767208909,7.720744609832764,504.3443298339844
849,504.3443298339844,37.416645088827835,23.287320975789584,514.6180104693033,40.716806054115295,498.52447509765625
850,498.52447509765625,37.50192747308489,23.735647233892777,512.4722057530837,13.953368365764618,511.1300048828125
851,511.1300048828125,41.93938146824201,30.085498569024864,512.2932456370476,85.52243113517761,508.7773132324219
852,508.7773132324219,39.94256480148502,29.209878461203104,511.82445464976416,38.75008523464203,492.8532409667969
853,492.8532409667969,38.31842636123117,29.63635152348006,509.29495949203516,11.348289251327515,495.7755432128906
854,495.7755432128906,38.444278726618066,31.01077976084325,507.49237065481594,48.56323301792145,493.91815185546875
855,493.91815185546875,38.847937482821976,30.22706563207069,505.682474814903,39.925819635391235,478.7122802734375
856,478.7122802734375,39.218591325333314,29.9251501678457,502.08644887604095,7.431554049253464,476.3595886230469
857,476.3595886230469,36.179709081886394,23.834393543484666,498.65620084230846,19.817112386226654,481.5355224609375
858,481.5355224609375,35.53780039436691,30.395918888729028,496.3734437247923,53.98235321044922,490.203369140625
859,490.203369140625,43.40464727367779,38.85877343529589,495.55076711357003,82.63174891471863,486.6371765136719
860,486.6371765136719,48.66807466536706,43.46709842428199,494.3622883669169,12.290719896554947,483.7891540527344
861,483.7891540527344,53.63982877953464,46.15562796177515,492.9525371250259,52.28058099746704,494.14105224609375
862,494.14105224609375,54.471548863417425,48.12219328072766,493.111005807835,20.077456533908844,510.63470458984375
863,510.63470458984375,60.02115098123659,52.13616794373792,495.4474989787695,91.00626111030579,511.7738952636719
864,511.7738952636719,56.529169570394636,58.0762918261767,497.62435181675653,65.06679058074951,515.6372680664062
865,515.6372680664062,52.430548012925705,57.43922643201593,500.0260739833765,88.8017475605011,506.1274108886719
866,506.1274108886719,48.67343434331089,50.82157754584069,500.83958557074925,40.827545523643494,498.0787048339844
867,498.0787048339844,52.83983558183227,52.83820916356671,500.4714681391806,18.223106861114502,498.35113525390625
868,498.35113525390625,51.44124448712926,51.88600816215508,500.18875708781076,73.05566072463989,498.4997253417969
869,498.4997253417969,45.43679861436871,60.66671493011991,499.9635528550089,24.860335886478424,483.5662841796875
870,483.5662841796875,45.60000772560269,61.201707228080025,497.7772503649661,5.416867882013321,487.87542724609375
871,487.87542724609375,41.860270915808165,67.82570430636974,496.4570072824498,65.56770205497742,487.3058166503906
872,487.3058166503906,46.22585143229858,61.49488571874199,495.2368485315086,76.26097798347473,489.4356384277344
873,489.4356384277344,42.37685922691174,61.94519937406114,494.46335385100537,45.288002490997314,490.0052490234375
874,490.0052490234375,37.79790047166467,62.20639892320175,493.86893987399634,44.56946551799774,485.64654541015625
875,485.64654541015625,36.83403563204108,62.2621498323121,492.772620612151,71.15359306335449,485.64654541015625
876,485.64654541015625,30.042682980171165,60.27265531752526,491.82247725188506,31.47178590297699,487.5782470703125
