,Open,High,Low,Close,Volume,RSI,MFI,EMA,SO,CloseNext
2358,2106,2111.300049,2078,2082.100098,8947563,46.99760713,37.3669778,2097.842763,12.31258735,2137.300049
2359,2085,2147.949951,2047,2137.300049,27630190,57.72668491,49.80366329,2103.103735,89.45031166,2110.600098
2360,2148,2150,2103.25,2110.600098,12961252,58.23600051,49.21434513,2104.10325,15.72213471,2116.149902
2361,2120,2132.899902,2106.25,2116.149902,12537520,56.44786325,49.20901207,2105.70947,37.14798689,2080.699951
2362,2174,2174,2060.350098,2080.699951,28648124,55.17504176,37.38973933,2102.374868,17.90573746,2087.25
2363,2100,2122.399902,2062.399902,2087.25,17821396,50.01799279,36.77077943,2100.358219,41.41682982,2128.199951
2364,2092,2138,2085,2128.199951,12437162,50.96529831,42.35262181,2104.07045,81.50933981,2112.100098
2365,2128,2138.75,2103,2112.100098,8577634,49.73959015,47.80927384,2105.141069,25.4548192,2077.25
2366,2083.550049,2096.949951,2072.199951,2077.25,13141644,47.91910772,48.07994083,2101.42226,20.40423751,2082.649902
2367,2084,2105.75,2044.25,2082.649902,10119064,44.33750324,42.1756149,2098.919279,62.43886352,2107.100098
2368,2092,2121,2080.5,2107.100098,12643749,46.27797364,41.22425545,2100.010055,65.67925215,2161.350098
2369,2085,2167.800049,2081.449951,2161.350098,25525960,52.14700271,50.18033925,2108.188727,92.53046513,2314
2370,2183.100098,2344.949951,2175.350098,2314,64750460,61.13621256,64.9200896,2135.63023,81.75119162,2319.75
2371,2312,2337.850098,2287.100098,2319.75,27445768,60.58907757,71.89040586,2160.179533,64.33477998,2302.550049
2372,2325,2360,2282,2302.550049,20335272,59.92757656,65.80091295,2179.162268,26.34621561,2318.850098
2373,2311.949951,2325.75,2288.149902,2318.850098,12542824,57.07464225,59.43311878,2197.787312,81.64924383,2324.550049
2374,2320,2369.350098,2310.550049,2324.550049,15668979,55.07763662,60.02611683,2214.68901,23.80950451,2298.75
2375,2320,2333.699951,2291.850098,2298.75,11919927,57.25612946,59.93431218,2225.897142,16.48727953,2305.699951
2376,2314.25,2319.449951,2276.550049,2305.699951,15264068,57.59040303,62.46058397,2236.537517,67.94864535,2255.850098
2377,2300,2336,2247.350098,2255.850098,15519031,54.68807297,62.65766587,2239.112528,9.58827883,2211.149902
2378,2277,2277,2201.550049,2211.149902,16056620,51.92399207,57.32594201,2235.384178,12.72347271,2230.800049
2379,2260,2276.75,2205.300049,2230.800049,19839282,48.40210215,59.09841751,2234.77296,35.68931818,2181.199951
2380,2207.899902,2226,2176.050049,2181.199951,13764841,46.35570651,58.83349898,2227.629893,10.31012461,2201.699951
2381,2189,2212.800049,2167.300049,2201.699951,13095028,47.61534153,58.12719934,2224.172567,75.60418248,2216.25
2382,2227,2238,2207.050049,2216.25,9076248,46.79626366,57.70322183,2223.116225,29.72525358,2245.050049
2383,2225,2264,2216.25,2245.050049,11926328,44.56821178,55.76768581,2226.040735,60.31423807,2234.350098
2384,2260,2267,2225,2234.350098,11290667,30.94243314,44.63557458,2227.14865,22.26213664,2225.25
2385,2263.800049,2263.800049,2214,2225.25,9591456,35.20665554,34.54553581,2226.895496,22.59033918,2212.199951
2386,2244,2249.149902,2206,2212.199951,8732869,35.6701098,36.84423852,2224.93609,14.36840147,2210.350098
2387,2225.25,2233.899902,2201.649902,2210.350098,8497216,38.51586711,37.76731977,2222.991291,26.97734833,2257.5
2388,2235,2309,2220,2257.5,24538346,47.27100942,40.54174769,2227.592453,42.13483036,2239.25
2389,2259,2268,2222.100098,2239.25,9727405,48.20881677,41.09279233,2229.146792,37.36370206,2233.449951
2390,2235,2253,2217.100098,2233.449951,8558745,53.68321124,42.72406034,2229.720547,45.54289281,2237.050049
